movieId,released,title,actors,director,genres,imdbRating,movie_detail,similar_movie,location
1,1995-11-22,Toy Story,Jim Varney|Tim Allen|Tom Hanks|Don Rickles,John Lasseter,Adventure|Animation|Children|Comedy|Fantasy,8.3,"Movie Toy Story is directed by John Lasseter having actors named Jim Varney , Tim Allen , Tom Hanks , Don Rickles and it is movie of the genre in Adventure , Animation , Children , Comedy , Fantasy. It has a rating of 8.3 and it is released in 1995-11-22",Finding Nemo,United States
2,1995-12-15,Jumanji,Robin Williams|Bradley Pierce|Kirsten Dunst|Jonathan Hyde,Joe Johnston,Adventure|Children|Fantasy,6.9,"Movie Jumanji is directed by Joe Johnston having actors named Robin Williams , Bradley Pierce , Kirsten Dunst , Jonathan Hyde and it is movie of the genre in Adventure , Children , Fantasy. It has a rating of 6.9 and it is released in 1995-12-15",Jumanji: Welcome to the Jungle,United States
3,1995-12-22,Grumpier Old Men,Walter Matthau|Ann-Margret|Jack Lemmon|Sophia Loren,Howard Deutch,Comedy|Romance,6.6,"Movie Grumpier Old Men is directed by Howard Deutch having actors named Walter Matthau , Ann-Margret , Jack Lemmon , Sophia Loren and it is movie of the genre in Comedy , Romance. It has a rating of 6.6 and it is released in 1995-12-22",The Bucket List,United States
4,1995-12-22,Waiting to Exhale,Whitney Houston|Lela Rochon|Angela Bassett|Loretta Devine,Forest Whitaker,Romance|Drama|Comedy,5.6,"Movie Waiting to Exhale is directed by Forest Whitaker having actors named Whitney Houston , Lela Rochon , Angela Bassett , Loretta Devine and it is movie of the genre in Romance , Drama , Comedy. It has a rating of 5.6 and it is released in 1995-12-22",The Best Man Holiday,United States
5,1995-12-08,Father of the Bride Part II,Steve Martin|Kimberly Williams-Paisley|Diane Keaton|Martin Short,Charles Shyer,Comedy,5.9,"Movie Father of the Bride Part II is directed by Charles Shyer having actors named Steve Martin , Kimberly Williams-Paisley , Diane Keaton , Martin Short and it is movie of the genre in Comedy. It has a rating of 5.9 and it is released in 1995-12-08",Cheaper by the Dozen,United States
6,1995-12-15,Heat,Al Pacino|Robert De Niro|Val Kilmer|Jon Voight,Michael Mann,Action|Crime|Thriller,8.2,"Movie Heat is directed by Michael Mann having actors named Al Pacino , Robert De Niro , Val Kilmer , Jon Voight and it is movie of the genre in Action , Crime , Thriller. It has a rating of 8.2 and it is released in 1995-12-15",The Departed,United States
7,1995-12-15,Sabrina,Julia Ormond|Harrison Ford|Nancy Marchand|Greg Kinnear,Sydney Pollack,Comedy|Romance,6.2,"Movie Sabrina is directed by Sydney Pollack having actors named Julia Ormond , Harrison Ford , Nancy Marchand , Greg Kinnear and it is movie of the genre in Comedy , Romance. It has a rating of 6.2 and it is released in 1995-12-15",Notting Hill,United States
8,1995-12-22,Tom and Huck,Jonathan Taylor Thomas|Brad Renfro|Eric Schweig|Charles Rocket,Peter Hewitt,Children|Adventure,5.6,"Movie Tom and Huck is directed by Peter Hewitt having actors named Jonathan Taylor Thomas , Brad Renfro , Eric Schweig , Charles Rocket and it is movie of the genre in Children , Adventure. It has a rating of 5.6 and it is released in 1995-12-22",The Adventures of Huck Finn,United States
9,1995-12-22,Sudden Death,Jean-Claude Van Damme|Powers Boothe|Raymond J. Barry|Whittni Wright,Peter Hyams,Action,5.7,"Movie Sudden Death is directed by Peter Hyams having actors named Jean-Claude Van Damme , Powers Boothe , Raymond J. Barry , Whittni Wright and it is movie of the genre in Action. It has a rating of 5.7 and it is released in 1995-12-22",Die Hard,United States
10,1995-11-17,GoldenEye,Pierce Brosnan|Famke Janssen|Sean Bean|Izabella Scorupco,Martin Campbell,Adventure|Action|Thriller,7.2,"Movie GoldenEye is directed by Martin Campbell having actors named Pierce Brosnan , Famke Janssen , Sean Bean , Izabella Scorupco and it is movie of the genre in Adventure , Action , Thriller. It has a rating of 7.2 and it is released in 1995-11-17",Mission Impossible,United Kingdom
